"Cycle"  "Average State"  "Average Threshold"  "Clusters"
     0    0.0014    0.0001     34543
     1    0.0057    0.0016     31485
     2    0.0092    0.0039     28976
     3    0.0160    0.0084     27216
     4    0.0214    0.0142     26010
     5    0.0291    0.0220     25055
     6    0.0338    0.0309     24042
     7    0.0370    0.0407     23237
     8    0.0386    0.0506     22609
     9    0.0376    0.0601     22061
    10    0.0307    0.0671     21642
    11    0.0193    0.0705     21214
    12    0.0064    0.0700     20760
    13   -0.0115    0.0643     20174
    14   -0.0321    0.0533     19857
    15   -0.0530    0.0376     19539
    16   -0.0738    0.0171     19362
    17   -0.0922   -0.0080     18814
    18   -0.1038   -0.0357     18136
    19   -0.1110   -0.0646     17534
    20   -0.1119   -0.0935     16833
    21   -0.1067   -0.1196     16485
    22   -0.0940   -0.1416     16043
    23   -0.0720   -0.1572     15525
    24   -0.0429   -0.1643     14935
    25   -0.0085   -0.1618     13969
    26    0.0299   -0.1495     12528
    27    0.0672   -0.1280     11690
    28    0.0983   -0.0993     10887
    29    0.1235   -0.0655     10243
    30    0.1427   -0.0276      9751
    31    0.1529    0.0121      9365
    32    0.1566    0.0524      9152
    33    0.1540    0.0906      9167
    34    0.1453    0.1262      9464
    35    0.1345    0.1583      9638
    36    0.1159    0.1852      9807
    37    0.0932    0.2055      9770
    38    0.0626    0.2178     10229
    39    0.0278    0.2201     10506
    40   -0.0115    0.2119     10770
    41   -0.0514    0.1943     11011
    42   -0.0842    0.1693     10287
    43   -0.1123    0.1374      9683
    44   -0.1346    0.1013      9219
    45   -0.1493    0.0623      8465
    46   -0.1605    0.0211      7937
    47   -0.1696   -0.0222      7687
    48   -0.1753   -0.0671      7968
    49   -0.1755   -0.1113      8317
    50   -0.1679   -0.1525      8467
    51   -0.1523   -0.1888      8205
    52   -0.1286   -0.2182      8056
    53   -0.0988   -0.2397      8478
    54   -0.0598   -0.2497      8832
    55   -0.0150   -0.2479      8625
    56    0.0306   -0.2348      8214
    57    0.0701   -0.2122      8035
    58    0.1043   -0.1818      7835
    59    0.1329   -0.1451      7371
    60    0.1574   -0.1027      6718
    61    0.1760   -0.0566      6377
    62    0.1901   -0.0071      5904
    63    0.1983    0.0440      5757
    64    0.1990    0.0940      5520
    65    0.1897    0.1407      5476
    66    0.1725    0.1816      5878
    67    0.1497    0.2164      6059
    68    0.1216    0.2428      6568
    69    0.0908    0.2614      7118
    70    0.0535    0.2704      7495
    71    0.0135    0.2691      8211
    72   -0.0286    0.2567      7992
    73   -0.0677    0.2348      7782
    74   -0.1058    0.2032      7953
    75   -0.1428    0.1631      8115
    76   -0.1766    0.1144      7863
    77   -0.2033    0.0598      7484
    78   -0.2225    0.0018      6956
    79   -0.2330   -0.0582      6753
    80   -0.2348   -0.1175      6923
    81   -0.2247   -0.1728      7338
    82   -0.2055   -0.2227      7686
    83   -0.1782   -0.2641      7882
    84   -0.1441   -0.2959      8184
    85   -0.0983   -0.3153      8373
    86   -0.0482   -0.3207      7875
    87    0.0061   -0.3128      7544
    88    0.0608   -0.2909      6934
    89    0.1113   -0.2569      6418
    90    0.1576   -0.2114      6240
    91    0.1991   -0.1562      6171
    92    0.2344   -0.0934      5632
    93    0.2623   -0.0240      4992
    94    0.2779    0.0478      4541
    95    0.2809    0.1183      4713
    96    0.2696    0.1843      5053
    97    0.2421    0.2419      5416
    98    0.2057    0.2888      5772
    99    0.1602    0.3230      6658
   100    0.1075    0.3438      7156
   101    0.0497    0.3492      7215
   102   -0.0114    0.3385      7240
   103   -0.0710    0.3139      7112
   104   -0.1233    0.2762      6996
   105   -0.1687    0.2283      6666
   106   -0.2076    0.1712      6395
   107   -0.2398    0.1069      6159
   108   -0.2652    0.0371      6075
   109   -0.2792   -0.0350      6019
   110   -0.2811   -0.1063      6180
   111   -0.2695   -0.1726      6615
   112   -0.2451   -0.2314      7035
   113   -0.2095   -0.2794      7258
   114   -0.1653   -0.3155      7101
   115   -0.1173   -0.3387      6975
   116   -0.0658   -0.3486      7525
